,time,word,phoneme,pca_0,pca_1,pca_2
0,0.0,-1,-1,0.0388496778339434,-0.3651376799480357,-0.33754065382456494
1,0.01,-1,-1,0.06418997281555583,-0.5667903827534215,-0.38846882512410896
2,0.02,-1,-1,0.07524403265844086,-0.5728940165834902,-0.23910923889388266
3,0.03,-1,126,0.050291946945975906,-0.5696598416760916,-0.049169025824296726
4,0.04,-1,126,0.01264562501290827,-0.6021403697145962,0.12381535151601031
5,0.05,-1,126,-0.019362310925021615,-0.7172036858494224,0.3082535494370456
6,0.06,-1,126,-0.02302628146975515,-0.8309838871516466,0.4005922323870347
7,0.07,-1,126,-0.021524388629941892,-0.8956538555345622,0.37080960201946955
8,0.08,-1,126,-0.013286281563004708,-0.846616004857769,0.30386069421875406
9,0.09,-1,126,-0.0006050795818619073,-0.7390336561389053,0.23252447026977666
10,0.1,-1,126,0.01883266474761737,-0.6307918915908797,0.20848464319643387
11,0.11,-1,126,0.033643208273443116,-0.506501356898919,0.16108151447487457
12,0.12,-1,107,0.041491296666107735,-0.3753371079572223,0.1357412228212051
13,0.13,-1,107,0.048412772544970464,-0.24083782666037043,0.08463697601551631
14,0.14,-1,107,0.0515744874164943,-0.13453351704676716,0.04626927147880721
15,0.15,-1,107,0.05160926629624079,-0.08379305036187895,0.04039989474606347
16,0.16,-1,107,0.06177890502881149,-0.019718086644886567,0.05089478515950847
17,0.17,-1,107,0.06875909407217817,0.011291839228064737,0.0626297129045187
18,0.18,-1,107,0.08456734021130366,0.06447952982959715,0.0454409894466956
19,0.19,-1,107,0.10314728448503452,0.1016202218137352,-0.026860316836009167
20,0.2,-1,107,0.1227397771867254,0.14089916897914784,-0.14871912551928543
21,0.21,-1,107,0.13060099725099839,0.18220804924881653,-0.36515302462752475
22,0.22,10995,119,0.13301843447043868,0.1043037486353691,-0.6855188425157593
23,0.23,10995,119,0.14288367489230724,-0.027669695609838868,-0.9854689389192266
24,0.24,10995,119,0.15458827078293244,-0.17384783594141492,-1.2063952856199576
25,0.25,10995,119,0.16801939644391473,-0.1557239564765805,-1.1190410378825904
26,0.26,10995,119,0.18292584482639657,-0.047312970891732406,-0.9248666993728178
27,0.27,10995,119,0.20149709146446074,0.12252910224687277,-0.6081378602499377
28,0.28,10995,119,0.22094072937549059,0.2969868859759597,-0.34034579943321014
29,0.29,10995,119,0.2227942124490882,0.4345774858804501,-0.09205061978533194
30,0.3,10995,119,0.22643279501032068,0.5199584982342806,0.06559185080829104
31,0.31,10995,119,0.22785357562249217,0.6288498212061195,0.15928070021678536
32,0.32,10995,119,0.24557855828259656,0.7918880647285484,0.22333438911679426
33,0.33,10995,97,0.25361906516925387,0.8746432051759332,0.2872436642009026
34,0.34,10995,97,0.2574559819211366,0.8648651164102127,0.29261691283098373
35,0.35000000000000003,10995,97,0.2691065928563721,0.7865623910823163,0.2855008864379961
36,0.36,10995,97,0.29687191414831327,0.7779917952688291,0.29961045597245106
37,0.37,10995,112,0.32855949293053177,0.8397083179718379,0.3666191995944921
38,0.38,10995,112,0.3522341393288189,0.9381326906857653,0.4256823908775981
39,0.39,10995,112,0.35841652606050484,1.0299284551336791,0.45250058421061445
40,0.4,10995,112,0.37154312641280757,1.08087460839978,0.43963392904976833
41,0.41000000000000003,10995,112,0.38403020171379315,1.096091578543112,0.43220506512705276
42,0.42,10995,112,0.4086301520897829,1.1078290568133284,0.3998155320539803
43,0.43,10995,112,0.4275060663670517,1.1208802592223126,0.3676294823885226
44,0.44,10995,112,0.4405754625775888,1.1378792603663683,0.3322898747518767
45,0.45,10995,112,0.4480533070665933,1.0640770124605654,0.28054956842828904
46,0.46,10995,112,0.4469457764271943,0.9201637197609056,0.17475482440103723
47,0.47000000000000003,10995,112,0.4406181729253085,0.7308458472080376,0.04749913053246215
48,0.48,10995,112,0.440446111267915,0.6023150607503285,-0.06506097852569875
49,0.49,10995,103,0.45096387972679675,0.5198076050893057,-0.15072016014396822
50,0.5,10995,103,0.4611324182848118,0.4208255285385908,-0.2291404139880752
51,0.51,10995,103,0.4672152572998678,0.28388483159532435,-0.3186809500649259
52,0.52,10995,103,0.47069590976735703,0.10599202861076641,-0.4077081046161063
53,0.53,10995,103,0.48349772051321416,-0.07302013119218725,-0.4991871166597614
54,0.54,10995,103,0.4956767836544053,-0.2532587805570457,-0.5440714965201295
55,0.55,10995,103,0.4927354813783362,-0.3855469419516291,-0.5334206855485975
56,0.56,10995,103,0.485696465414511,-0.49706107129820853,-0.5322337379352651
57,0.5700000000000001,10995,103,0.4827873384771669,-0.5336947312825928,-0.5236118697287349
58,0.58,10995,103,0.5006583388656761,-0.5528961320525654,-0.5301369566004478
59,0.59,10995,111,0.5289931092407776,-0.5562987468222064,-0.5035985376954095
60,0.6,10995,111,0.5624507889153412,-0.57903533767492,-0.45676360298152363
61,0.61,10995,111,0.5937938380243555,-0.6433775390941376,-0.3978688823975641
62,0.62,10995,111,0.6224501424297663,-0.632067258433197,-0.3132624919608272
63,0.63,10995,111,0.6499026889387867,-0.6130647904364976,-0.23304824532749857
64,0.64,10995,111,0.6693728484325896,-0.5518931036139108,-0.17424560266946587
65,0.65,10995,111,0.6899610434874788,-0.554309811711254,-0.16509103030261124
66,0.66,10995,111,0.7068114838983183,-0.5589976995188854,-0.18291988472005274
67,0.67,10995,111,0.7293161221692472,-0.5852205557614423,-0.18847045930904255
68,0.68,10995,111,0.7455123917427322,-0.5740673299935172,-0.1435793711035046
69,0.6900000000000001,10995,111,0.7508059557967359,-0.5461689539164473,-0.07731600438461546
70,0.7000000000000001,10995,111,0.7482805009244832,-0.5166137694245903,-0.014737585633397915
71,0.71,10995,111,0.7497252668879804,-0.4542280099101569,0.09276216525563685
72,0.72,10995,111,0.7417274079232496,-0.38114591966844047,0.1987227505075525
73,0.73,10995,111,0.739766201967264,-0.22250079080255714,0.3730198915716592
74,0.74,10995,111,0.7121491504835326,-0.04707311720203401,0.5267133395287427
75,0.75,10995,111,0.6869386457798919,0.1566550284401363,0.6607373767987373
