,lang,feature,accuracy,permute,epoch,lang_train,init,num_samples
0,en,sonority,0.38461538461538464,0.0,0,en,none,499
1,fr,sonority,0.4411764705882353,0.0,0,en,none,499
2,enfr,sonority,0.3981900452488688,0.0,0,en,none,499
3,en,manner,0.38461538461538464,0.0,0,en,none,499
4,fr,manner,0.4411764705882353,0.0,0,en,none,499
5,enfr,manner,0.41289592760180993,0.0,0,en,none,499
6,en,voicing,0.29411764705882354,0.0,0,en,none,499
7,fr,voicing,0.0,0.0,0,en,none,499
8,enfr,voicing,0.5147058823529411,0.0,0,en,none,499
9,en,place,0.125,0.0,0,en,none,499
10,fr,place,0.15789473684210525,0.0,0,en,none,499
11,enfr,place,0.2510964912280702,0.0,0,en,none,499
12,en,placerough,0.0,0.0,0,en,none,499
13,fr,placerough,0.0,0.0,0,en,none,499
14,enfr,placerough,0.30952380952380953,0.0,0,en,none,499
15,enfr,lang,0.8356164383561644,0.0,0,en,none,499
16,en,sonority,0.46153846153846156,0.0,1,en,none,1071
17,fr,sonority,0.4411764705882353,0.0,1,en,none,1071
18,enfr,sonority,0.38348416289592757,0.0,1,en,none,1071
19,en,manner,0.38461538461538464,0.0,1,en,none,1071
20,fr,manner,0.4411764705882353,0.0,1,en,none,1071
21,enfr,manner,0.41289592760180993,0.0,1,en,none,1071
22,en,voicing,0.23529411764705882,0.0,1,en,none,1071
23,fr,voicing,0.0,0.0,1,en,none,1071
24,enfr,voicing,0.5147058823529411,0.0,1,en,none,1071
25,en,place,0.16666666666666666,0.0,1,en,none,1071
26,fr,place,0.15789473684210525,0.0,1,en,none,1071
27,enfr,place,0.2510964912280702,0.0,1,en,none,1071
28,en,placerough,0.0,0.0,1,en,none,1071
29,fr,placerough,0.0,0.0,1,en,none,1071
30,enfr,placerough,0.30952380952380953,0.0,1,en,none,1071
31,enfr,lang,0.9726027397260274,0.0,1,en,none,1071
32,en,sonority,0.6666666666666666,0.0,2,en,none,1727
33,fr,sonority,0.4411764705882353,0.0,2,en,none,1727
34,enfr,sonority,0.3981900452488688,0.0,2,en,none,1727
35,en,manner,0.41025641025641024,0.0,2,en,none,1727
36,fr,manner,0.4411764705882353,0.0,2,en,none,1727
37,enfr,manner,0.41289592760180993,0.0,2,en,none,1727
38,en,voicing,0.35294117647058826,0.0,2,en,none,1727
39,fr,voicing,0.0,0.0,2,en,none,1727
40,enfr,voicing,0.5563725490196079,0.0,2,en,none,1727
41,en,place,0.125,0.0,2,en,none,1727
42,fr,place,0.15789473684210525,0.0,2,en,none,1727
43,enfr,place,0.2510964912280702,0.0,2,en,none,1727
44,en,placerough,0.0,0.0,2,en,none,1727
45,fr,placerough,0.0,0.0,2,en,none,1727
46,enfr,placerough,0.38095238095238093,0.0,2,en,none,1727
47,enfr,lang,0.9863013698630136,0.0,2,en,none,1727
48,en,sonority,0.7692307692307693,0.0,3,en,none,2478
49,fr,sonority,0.4411764705882353,0.0,3,en,none,2478
50,enfr,sonority,0.3981900452488688,0.0,3,en,none,2478
51,en,manner,0.41025641025641024,0.0,3,en,none,2478
52,fr,manner,0.4411764705882353,0.0,3,en,none,2478
53,enfr,manner,0.41289592760180993,0.0,3,en,none,2478
54,en,voicing,0.4117647058823529,0.0,3,en,none,2478
55,fr,voicing,0.0,0.0,3,en,none,2478
56,enfr,voicing,0.5563725490196079,0.0,3,en,none,2478
57,en,place,0.16666666666666666,0.0,3,en,none,2478
58,fr,place,0.15789473684210525,0.0,3,en,none,2478
59,enfr,place,0.2510964912280702,0.0,3,en,none,2478
60,en,placerough,0.0,0.0,3,en,none,2478
61,fr,placerough,0.0,0.0,3,en,none,2478
62,enfr,placerough,0.4226190476190476,0.0,3,en,none,2478
63,enfr,lang,0.9863013698630136,0.0,3,en,none,2478
64,en,sonority,0.7692307692307693,0.0,4,en,none,3338
65,fr,sonority,0.4411764705882353,0.0,4,en,none,3338
66,enfr,sonority,0.3981900452488688,0.0,4,en,none,3338
67,en,manner,0.5128205128205128,0.0,4,en,none,3338
68,fr,manner,0.4411764705882353,0.0,4,en,none,3338
69,enfr,manner,0.41289592760180993,0.0,4,en,none,3338
70,en,voicing,0.4117647058823529,0.0,4,en,none,3338
71,fr,voicing,0.0,0.0,4,en,none,3338
72,enfr,voicing,0.5980392156862745,0.0,4,en,none,3338
73,en,place,0.125,0.0,4,en,none,3338
74,fr,place,0.15789473684210525,0.0,4,en,none,3338
75,enfr,place,0.2510964912280702,0.0,4,en,none,3338
76,en,placerough,0.21428571428571427,0.0,4,en,none,3338
77,fr,placerough,0.0,0.0,4,en,none,3338
78,enfr,placerough,0.4226190476190476,0.0,4,en,none,3338
79,enfr,lang,0.9863013698630136,0.0,4,en,none,3338
80,en,sonority,0.7948717948717948,0.0,5,en,none,4324
81,fr,sonority,0.4411764705882353,0.0,5,en,none,4324
82,enfr,sonority,0.38348416289592757,0.0,5,en,none,4324
83,en,manner,0.5128205128205128,0.0,5,en,none,4324
84,fr,manner,0.4411764705882353,0.0,5,en,none,4324
85,enfr,manner,0.41289592760180993,0.0,5,en,none,4324
86,en,voicing,0.47058823529411764,0.0,5,en,none,4324
87,fr,voicing,0.0,0.0,5,en,none,4324
88,enfr,voicing,0.4852941176470588,0.0,5,en,none,4324
89,en,place,0.2916666666666667,0.0,5,en,none,4324
90,fr,place,0.15789473684210525,0.0,5,en,none,4324
91,enfr,place,0.2510964912280702,0.0,5,en,none,4324
92,en,placerough,0.21428571428571427,0.0,5,en,none,4324
93,fr,placerough,0.0,0.0,5,en,none,4324
94,enfr,placerough,0.4226190476190476,0.0,5,en,none,4324
95,enfr,lang,0.9863013698630136,0.0,5,en,none,4324
96,en,sonority,0.7948717948717948,0.0,6,en,none,5453
97,fr,sonority,0.4411764705882353,0.0,6,en,none,5453
98,enfr,sonority,0.36877828054298645,0.0,6,en,none,5453
99,en,manner,0.5128205128205128,0.0,6,en,none,5453
100,fr,manner,0.4411764705882353,0.0,6,en,none,5453
101,enfr,manner,0.41289592760180993,0.0,6,en,none,5453
102,en,voicing,0.5294117647058824,0.0,6,en,none,5453
103,fr,voicing,0.0,0.0,6,en,none,5453
104,enfr,voicing,0.4852941176470588,0.0,6,en,none,5453
105,en,place,0.375,0.0,6,en,none,5453
106,fr,place,0.15789473684210525,0.0,6,en,none,5453
107,enfr,place,0.2510964912280702,0.0,6,en,none,5453
108,en,placerough,0.2857142857142857,0.0,6,en,none,5453
109,fr,placerough,0.0,0.0,6,en,none,5453
110,enfr,placerough,0.38095238095238093,0.0,6,en,none,5453
111,enfr,lang,0.9863013698630136,0.0,6,en,none,5453
112,en,sonority,0.7948717948717948,0.0,7,en,none,6747
113,fr,sonority,0.4411764705882353,0.0,7,en,none,6747
114,enfr,sonority,0.35407239819004527,0.0,7,en,none,6747
115,en,manner,0.5128205128205128,0.0,7,en,none,6747
116,fr,manner,0.4411764705882353,0.0,7,en,none,6747
117,enfr,manner,0.41289592760180993,0.0,7,en,none,6747
118,en,voicing,0.5882352941176471,0.0,7,en,none,6747
119,fr,voicing,0.0,0.0,7,en,none,6747
120,enfr,voicing,0.4852941176470588,0.0,7,en,none,6747
121,en,place,0.4166666666666667,0.0,7,en,none,6747
122,fr,place,0.15789473684210525,0.0,7,en,none,6747
123,enfr,place,0.2510964912280702,0.0,7,en,none,6747
124,en,placerough,0.2857142857142857,0.0,7,en,none,6747
125,fr,placerough,0.0,0.0,7,en,none,6747
126,enfr,placerough,0.4226190476190476,0.0,7,en,none,6747
127,enfr,lang,0.9863013698630136,0.0,7,en,none,6747
128,en,sonority,0.7948717948717948,0.0,8,en,none,8229
129,fr,sonority,0.4411764705882353,0.0,8,en,none,8229
130,enfr,sonority,0.35407239819004527,0.0,8,en,none,8229
131,en,manner,0.5128205128205128,0.0,8,en,none,8229
132,fr,manner,0.4411764705882353,0.0,8,en,none,8229
133,enfr,manner,0.41289592760180993,0.0,8,en,none,8229
134,en,voicing,0.5294117647058824,0.0,8,en,none,8229
135,fr,voicing,0.0,0.0,8,en,none,8229
136,enfr,voicing,0.4852941176470588,0.0,8,en,none,8229
137,en,place,0.4166666666666667,0.0,8,en,none,8229
138,fr,place,0.15789473684210525,0.0,8,en,none,8229
139,enfr,place,0.2510964912280702,0.0,8,en,none,8229
140,en,placerough,0.35714285714285715,0.0,8,en,none,8229
141,fr,placerough,0.0,0.0,8,en,none,8229
142,enfr,placerough,0.34523809523809523,0.0,8,en,none,8229
143,enfr,lang,0.9863013698630136,0.0,8,en,none,8229
144,en,sonority,0.8461538461538461,0.0,9,en,none,9927
145,fr,sonority,0.4411764705882353,0.0,9,en,none,9927
146,enfr,sonority,0.36877828054298645,0.0,9,en,none,9927
147,en,manner,0.5384615384615384,0.0,9,en,none,9927
148,fr,manner,0.4411764705882353,0.0,9,en,none,9927
149,enfr,manner,0.41289592760180993,0.0,9,en,none,9927
150,en,voicing,0.5882352941176471,0.0,9,en,none,9927
151,fr,voicing,0.0,0.0,9,en,none,9927
152,enfr,voicing,0.4852941176470588,0.0,9,en,none,9927
153,en,place,0.4166666666666667,0.0,9,en,none,9927
154,fr,place,0.15789473684210525,0.0,9,en,none,9927
155,enfr,place,0.2510964912280702,0.0,9,en,none,9927
156,en,placerough,0.35714285714285715,0.0,9,en,none,9927
157,fr,placerough,0.0,0.0,9,en,none,9927
158,enfr,placerough,0.34523809523809523,0.0,9,en,none,9927
159,enfr,lang,0.9863013698630136,0.0,9,en,none,9927
160,en,sonority,0.8461538461538461,0.0,10,en,none,11872
161,fr,sonority,0.4411764705882353,0.0,10,en,none,11872
162,enfr,sonority,0.35407239819004527,0.0,10,en,none,11872
163,en,manner,0.5384615384615384,0.0,10,en,none,11872
164,fr,manner,0.4411764705882353,0.0,10,en,none,11872
165,enfr,manner,0.41289592760180993,0.0,10,en,none,11872
166,en,voicing,0.5882352941176471,0.0,10,en,none,11872
167,fr,voicing,0.0,0.0,10,en,none,11872
168,enfr,voicing,0.5147058823529411,0.0,10,en,none,11872
169,en,place,0.4166666666666667,0.0,10,en,none,11872
170,fr,place,0.15789473684210525,0.0,10,en,none,11872
171,enfr,place,0.2510964912280702,0.0,10,en,none,11872
172,en,placerough,0.35714285714285715,0.0,10,en,none,11872
173,fr,placerough,0.0,0.0,10,en,none,11872
174,enfr,placerough,0.30952380952380953,0.0,10,en,none,11872
175,enfr,lang,0.9863013698630136,0.0,10,en,none,11872
176,en,sonority,0.8461538461538461,0.0,11,en,none,14100
177,fr,sonority,0.4411764705882353,0.0,11,en,none,14100
178,enfr,sonority,0.35407239819004527,0.0,11,en,none,14100
179,en,manner,0.5384615384615384,0.0,11,en,none,14100
180,fr,manner,0.4411764705882353,0.0,11,en,none,14100
181,enfr,manner,0.41289592760180993,0.0,11,en,none,14100
182,en,voicing,0.5882352941176471,0.0,11,en,none,14100
183,fr,voicing,0.0,0.0,11,en,none,14100
184,enfr,voicing,0.5147058823529411,0.0,11,en,none,14100
185,en,place,0.4583333333333333,0.0,11,en,none,14100
186,fr,place,0.15789473684210525,0.0,11,en,none,14100
187,enfr,place,0.23026315789473684,0.0,11,en,none,14100
188,en,placerough,0.35714285714285715,0.0,11,en,none,14100
189,fr,placerough,0.0,0.0,11,en,none,14100
190,enfr,placerough,0.35119047619047616,0.0,11,en,none,14100
191,enfr,lang,0.9863013698630136,0.0,11,en,none,14100
192,en,sonority,0.8461538461538461,0.0,12,en,none,16652
193,fr,sonority,0.4411764705882353,0.0,12,en,none,16652
194,enfr,sonority,0.38348416289592757,0.0,12,en,none,16652
195,en,manner,0.6923076923076923,0.0,12,en,none,16652
196,fr,manner,0.4411764705882353,0.0,12,en,none,16652
197,enfr,manner,0.3981900452488688,0.0,12,en,none,16652
198,en,voicing,0.7058823529411765,0.0,12,en,none,16652
199,fr,voicing,0.0,0.0,12,en,none,16652
200,enfr,voicing,0.5147058823529411,0.0,12,en,none,16652
201,en,place,0.4583333333333333,0.0,12,en,none,16652
202,fr,place,0.15789473684210525,0.0,12,en,none,16652
203,enfr,place,0.23026315789473684,0.0,12,en,none,16652
204,en,placerough,0.42857142857142855,0.0,12,en,none,16652
205,fr,placerough,0.0,0.0,12,en,none,16652
206,enfr,placerough,0.31547619047619047,0.0,12,en,none,16652
207,enfr,lang,0.9863013698630136,0.0,12,en,none,16652
208,en,sonority,0.8717948717948718,0.0,13,en,none,19576
209,fr,sonority,0.4411764705882353,0.0,13,en,none,19576
210,enfr,sonority,0.38348416289592757,0.0,13,en,none,19576
211,en,manner,0.6923076923076923,0.0,13,en,none,19576
212,fr,manner,0.4411764705882353,0.0,13,en,none,19576
213,enfr,manner,0.3981900452488688,0.0,13,en,none,19576
214,en,voicing,0.7647058823529411,0.0,13,en,none,19576
215,fr,voicing,0.0,0.0,13,en,none,19576
216,enfr,voicing,0.5147058823529411,0.0,13,en,none,19576
217,en,place,0.5416666666666666,0.0,13,en,none,19576
218,fr,place,0.15789473684210525,0.0,13,en,none,19576
219,enfr,place,0.23026315789473684,0.0,13,en,none,19576
220,en,placerough,0.42857142857142855,0.0,13,en,none,19576
221,fr,placerough,0.0,0.0,13,en,none,19576
222,enfr,placerough,0.31547619047619047,0.0,13,en,none,19576
223,enfr,lang,0.9863013698630136,0.0,13,en,none,19576
224,en,sonority,0.8717948717948718,0.0,14,en,none,22925
