,index,word,lang
0,0,,de
1,1,die,de
2,2,ist,de
3,3,der,de
4,4,das,de
5,5,nicht,de
6,6,es,de
7,7,in,de
8,8,sie,de
9,9,ich,de
10,10,ein,de
11,11,und,de
12,12,sich,de
13,13,von,de
14,14,den,de
15,15,zu,de
16,16,auf,de
17,17,eine,de
18,18,mit,de
19,19,man,de
20,20,hat,de
21,21,du,de
22,22,wir,de
23,23,noch,de
24,24,an,de
25,25,im,de
26,26,sind,de
27,27,wie,de
28,28,dem,de
29,29,für,de
30,30,hauptstadt,de
31,31,auch,de
32,32,aus,de
33,33,nach,de
34,34,was,de
35,35,so,de
36,36,wird,de
37,37,kann,de
38,38,er,de
39,39,einen,de
40,40,als,de
41,41,wenn,de
42,42,aber,de
43,43,werden,de
44,44,nur,de
45,45,haben,de
46,46,war,de
47,47,dass,de
48,48,schon,de
49,49,mal,de
50,50,muss,de
51,51,mir,de
52,52,bei,de
53,53,um,de
54,54,am,de
55,55,ihr,de
56,56,gibt,de
57,57,zum,de
58,58,des,de
59,59,sein,de
60,60,immer,de
61,61,einer,de
62,62,mehr,de
63,63,einem,de
64,64,doch,de
65,65,jetzt,de
66,66,mich,de
67,67,alle,de
68,68,hier,de
69,69,vor,de
70,70,oder,de
71,71,habe,de
72,72,wurde,de
73,73,bitte,de
74,74,wieder,de
75,75,uns,de
76,76,dann,de
77,77,können,de
78,78,kommt,de
79,79,da,de
80,80,wer,de
81,81,durch,de
82,82,etwas,de
83,83,über,de
84,84,ja,de
85,85,diese,de
86,86,keine,de
87,87,zur,de
88,88,viel,de
89,89,heute,de
90,90,geht,de
91,91,bis,de
92,92,sollte,de
93,93,gut,de
94,94,nichts,de
95,95,sehr,de
96,96,viele,de
97,97,alles,de
98,98,mein,de
99,99,seine,de
100,100,kein,de
101,101,einfach,de
102,102,vom,de
103,103,damit,de
104,104,wo,de
105,105,dir,de
106,106,lassen,de
107,107,hast,de
108,108,beim,de
109,109,ihre,de
110,110,dieser,de
111,111,zwei,de
112,112,gerade,de
113,113,will,de
114,114,machen,de
115,115,ab,de
116,116,dich,de
117,117,heisst,de
118,118,denn,de
119,119,kannst,de
120,120,meine,de
121,121,macht,de
122,122,eines,de
123,123,hatte,de
124,124,ohne,de
125,125,nun,de
126,126,müssen,de
127,127,erst,de
128,128,zwischen,de
129,129,ganz,de
130,130,unter,de
131,131,lange,de
132,132,wäre,de
133,133,zeit,de
134,134,soll,de
135,135,weil,de
136,136,ins,de
137,137,bereits,de
138,138,lässt,de
139,139,stadt,de
140,140,gegen,de
141,141,euch,de
142,142,einmal,de
143,143,dabei,de
144,144,möchte,de
145,145,schnell,de
146,146,dies,de
147,147,ihm,de
148,148,anderen,de
149,149,dieses,de
150,150,würde,de
151,151,eigentlich,de
152,152,sehen,de
153,153,steht,de
154,154,wirklich,de
155,155,ihn,de
156,156,selbst,de
157,157,gehen,de
158,158,jeder,de
159,159,weiss,de
160,160,ihren,de
161,161,gar,de
162,162,nie,de
163,163,darf,de
164,164,sieht,de
165,165,suche,de
166,166,ihnen,de
167,167,bin,de
168,168,hätte,de
169,169,also,de
170,170,genau,de
171,171,waren,de
172,172,diesem,de
173,173,fahren,de
174,174,drei,de
175,175,weg,de
176,176,warum,de
177,177,herr,de
178,178,seinen,de
179,179,wurden,de
180,180,andere,de
181,181,wollte,de
182,182,liegt,de
183,183,gleich,de
184,184,menschen,de
185,185,kommen,de
186,186,frau,de
187,187,könnte,de
188,188,bist,de
189,189,ob,de
190,190,wohl,de
191,191,keinen,de
192,192,wollen,de
193,193,besser,de
194,194,nehmen,de
195,195,tag,de
196,196,unsere,de
197,197,konnte,de
